MARCA,MODELO,VERS_SISTEMA
Apple,iPhone 15,18.3
Apple,iPhone 15,17.6.1
Apple,iPhone 15,18.1.1
Apple,iPhone 15,17.5.1
Apple,iPhone 15,18
Apple,iPhone 15,18.4
Apple,iPhone 15 Plus,18.3.2
Apple,iPhone 15 Plus,17.6.1
Apple,iPhone 15 Plus,18.3.1
Apple,iPhone 15 Plus,18.1
Apple,iPhone 15 Plus,18.1.1
Apple,iPhone 15 Plus,18.2.1
Apple,iPhone 15 Pro,18.3.2
Apple,iPhone 15 Pro,18.2.1
Apple,iPhone 15 Pro,18.4
Apple,iPhone 15 Pro,18.1.1
Apple,iPhone 15 Pro,18.1
Apple,iPhone 15 Pro,18.3.1
Apple,iPhone 15 Pro,18.0.1
Apple,iPhone 15 Pro,17.6.1
Apple,iPhone 15 Pro,18.2
Apple,iPhone 15 Pro,17.5.1
Apple,iPhone 15 Pro,18.3
Apple,iPhone 15 Pro Max,17.7
Apple,iPhone 15 Pro Max,18
Apple,iPhone 15 Pro Max,18.1.1
Apple,iPhone 15 Pro Max,18.3.2
Apple,iPhone 15 Pro Max,18.1
Apple,iPhone 15 Pro Max,18.0.1
Apple,iPhone 15 Pro Max,18.2
Apple,iPhone 15 Pro Max,18.2.1
Apple,iPhone 15 Pro Max,17.6
Apple,iPhone 15 Pro Max,18.3
Apple,iPhone 15 Pro Max,18.4
Apple,iPhone 15 Pro Max,18.3.1
Apple,iPhone 15 Pro Max,17.6.1
Apple,iPhone 16,18.4
Apple,iPhone 16,18.0.1
Apple,iPhone 16,18.1.1
Apple,iPhone 16,18.3
Apple,iPhone 16,18.3.1
Apple,iPhone 16,18.3.2
Apple,iPhone 16,18.2
Apple,iPhone 16,18.1
Apple,iPhone 16,18.2.1
Apple,iPhone 16 Plus,18.3.2
Apple,iPhone 16 Plus,18.2
Apple,iPhone 16 Plus,18.3.1
Apple,iPhone 16 Plus,18.4
Apple,iPhone 16 Pro,18.4
Apple,iPhone 16 Pro,18.0.1
Apple,iPhone 16 Pro,18.3.2
Apple,iPhone 16 Pro,18.2.1
Apple,iPhone 16 Pro,18.3
Apple,iPhone 16 Pro,18.3.1
Apple,iPhone 16 Pro,18.1.1
Apple,iPhone 16 Pro,18.1
Apple,iPhone 16 Pro,18.2
Apple,iPhone 16 Pro Max,18.3.2
Apple,iPhone 16 Pro Max,18.4
Apple,iPhone 16 Pro Max,18.3.1
Apple,iPhone 16 Pro Max,18.3
Apple,iPhone 16 Pro Max,18.1.1
Apple,iPhone 16 Pro Max,18.1
Apple,iPhone 16 Pro Max,18.2
Apple,iPhone 16 Pro Max,18.2.1
Apple,iPhone 16 Pro Max,18.0.1
Apple,iPhone 6s,15.8.1
Apple,iPhone 6s,15.7.3
Apple,iPhone 6s,15.7.9
Apple,iPhone 6s,15.8
Apple,iPhone 6s,15.8.2
Apple,iPhone 6s,15.7.8
Apple,iPhone 6s,15.8.3
Apple,iPhone 6s,15.3
Apple,iPhone 6s,15.7.6
Apple,iPhone 6s,15.6.1
Apple,iPhone 6s,14.4.1
Apple,iPhone 6s Plus,13.3
Apple,iPhone 6s Plus,15.8.3
Apple,iPhone 6s Plus,15.7.6
Apple,iPhone 6s Plus,15.8.2
Apple,iPhone 7,15.8.3
Apple,iPhone 7,15.8.1
Apple,iPhone 7,15.7.5
Apple,iPhone 7,15.8
Apple,iPhone 7,15.2
Apple,iPhone 7,15.7.1
Apple,iPhone 7,15.0.2
Apple,iPhone 7,15.8.2
Apple,iPhone 7 Plus,15.8.1
Apple,iPhone 7 Plus,14.7.1
Apple,iPhone 7 Plus,15.8
Apple,iPhone 7 Plus,15.8.2
Apple,iPhone 7 Plus,15.5
Apple,iPhone 7 Plus,15.8.3
Apple,iPhone 8,16.5
Apple,iPhone 8,15.5
Apple,iPhone 8,15.7.2
Apple,iPhone 8,16.7.4
Apple,iPhone 8,15.6.1
Apple,iPhone 8,16.1.1
Apple,iPhone 8,16.3.1
Apple,iPhone 8,16.7.5
Apple,iPhone 8,15.4
Apple,iPhone 8,16.7.1
Apple,iPhone 8,16.7.10
Apple,iPhone 8,16.7.7
Apple,iPhone 8,16
Apple,iPhone 8,15.3.1
Apple,iPhone 8,16.1.2
Apple,iPhone 8,16.7.2
Apple,iPhone 8,16.7.8
Apple,iPhone 8,16.3
Apple,iPhone 8 Plus,16.7.4
Apple,iPhone 8 Plus,16.5.1
Apple,iPhone 8 Plus,16.3.1
Apple,iPhone 8 Plus,16.5
Apple,iPhone 8 Plus,16.7.9
Apple,iPhone 8 Plus,16.7.7
Apple,iPhone 8 Plus,16.7.10
Apple,iPhone 8 Plus,16.3
Apple,iPhone 8 Plus,16.7.8
Apple,iPhone 8 Plus,15.6
Apple,iPhone 8 Plus,16.7.5
Apple,iPhone 8 Plus,16
Apple,iPhone 8 Plus,16.7.2
Apple,iPhone 8 Plus,16.1.1
Apple,iPhone SE,15.8.3
Apple,iPhone SE,18
Apple,iPhone SE,17.4
Apple,iPhone SE,15.6.1
Apple,iPhone SE,16.6.1
Apple,iPhone SE,18.1.1
Apple,iPhone SE,18.2
Apple,iPhone SE,17.6
Apple,iPhone SE,16.2
Apple,iPhone SE,17.5.1
Apple,iPhone SE,18.3
Apple,iPhone SE,16.7
Apple,iPhone SE,15
Apple,iPhone SE,15.8.2
Apple,iPhone SE,17.4.1
Apple,iPhone SE,15.6
Apple,iPhone SE,15.7.3
Apple,iPhone SE,16.6
Apple,iPhone SE,18.2.1
Apple,iPhone SE,16.3
Apple,iPhone SE,17.3.1
Apple,iPhone SE,18.1
Apple,iPhone SE,17.3
Apple,iPhone SE,17.7.1
Apple,iPhone SE,15.3.1
Apple,iPhone SE,17.2.1
Apple,iPhone SE,16.1.1
Apple,iPhone SE,17.6.1
Apple,iPhone SE,16.1.2
Apple,iPhone SE,18.0.1
Apple,iPhone SE,16.3.1
Apple,iPhone SE,16
Apple,iPhone SE,17.0.3
Apple,iPhone SE,15.8
Apple,iPhone SE,16.7.1
Apple,iPhone SE,18.3.2
Apple,iPhone SE,18.3.1
Apple,iPhone X,16.2
Apple,iPhone X,16
Apple,iPhone X,16.7.8
Apple,iPhone X,16.7.5
Apple,iPhone X,16.7.4
Apple,iPhone X,16.7.10
Apple,iPhone X,15.6.1
Apple,iPhone X,16.1.1
Apple,iPhone X,16.5.1
Apple,iPhone X,16.7.7
Apple,iPhone X,16.0.2
Apple,iPhone XR,17.0.2
Apple,iPhone XR,17.5
Apple,iPhone XR,17.4
Apple,iPhone XR,16.1
Apple,iPhone XR,16.6.1
Apple,iPhone XR,15.6.1
Apple,iPhone XR,16.3
Apple,iPhone XR,17.6
Apple,iPhone XR,14.8.1
Apple,iPhone XR,17.3
Apple,iPhone XR,18.2
Apple,iPhone XR,17.1.1
Apple,iPhone XR,18.3.2
Apple,iPhone XR,15.0.2
Apple,iPhone XR,16.6
Apple,iPhone XR,17.4.1
Apple,iPhone XR,15.5
Apple,iPhone XR,17.7
Apple,iPhone XR,16.2
Apple,iPhone XR,15.3.1
Apple,iPhone XR,18.2.1
Apple,iPhone XR,18.3.1
Apple,iPhone XR,18.1
Apple,iPhone XR,18
Apple,iPhone XR,17.5.1
Apple,iPhone XR,18.0.1
Apple,iPhone XR,16.1.2
Apple,iPhone XR,18.1.1
Apple,iPhone XR,16
Apple,iPhone XR,16.0.3
Apple,iPhone XR,17.2.1
Apple,iPhone XR,18.3
Apple,iPhone XR,17.2
Apple,iPhone XR,17.0.3
Apple,iPhone XR,16.1.1
Apple,iPhone XR,17.3.1
Apple,iPhone XR,17.1.2
Apple,iPhone XR,16.0.2
Apple,iPhone XR,16.3.1
Apple,iPhone XR,17.6.1
Apple,iPhone XR,17.7.2
Apple,iPhone XS,17.7.2
Apple,iPhone XS,18.3.1
Apple,iPhone XS,18.3
Apple,iPhone XS,17.3.1
Apple,iPhone XS,18.1.1
Apple,iPhone XS,16
Apple,iPhone XS,17.4.1
Apple,iPhone XS,17.5.1
Apple,iPhone XS,15.6.1
Apple,iPhone XS,14.1
Apple,iPhone XS,16.6
Apple,iPhone XS,17.1.2
Apple,iPhone XS,16.1.1
Apple,iPhone XS,18.4
Apple,iPhone XS,16.0.2
Apple,iPhone XS,15.6
Apple,iPhone XS,18.0.1
Apple,iPhone XS,16.0.3
Apple,iPhone XS,18
Apple,iPhone XS,17.1.1
Apple,iPhone XS,16.4.1
Apple,iPhone XS,18.2
Apple,iPhone XS,16.5
Apple,iPhone XS,16.2
Apple,iPhone XS,17.6.1
Apple,iPhone XS,17.7.1
Apple,iPhone XS,17.7
Apple,iPhone XS,15.2.1
